Nombre,Edo.,Carretera,Long.(km),Tiempo(Hrs),Caseta o puente,Motocicleta,Camion 3 ejes,Camion 4 ejes,Camion 5 ejes,Camion 6 ejes,Camion 7 ejes,Camion 8 ejes,Camion 9 ejes,Automovil,Automovil remolque 1 eje,Automovil remolque 2 eje,Pick Ups,Autobus 2 ejes,Autobus 3 ejes,Autobus 4 ejes,Camion 2 ejes
Ensenada - San Miguel,BCN,Mex 001,15.035,00:11,,,,,,,,,,,,,,,,
San Miguel - Entronque La Mision,BCN,Mex 001D,31.153,00:16,Ensenada,24.0,94.0,118.0,118.0,136.0,136.0,136.0,136.0,48.0,73.0,98.0,48.0,98.0,98.0,98.0,94.0
Entronque La Mision - Entronque Tijuana,BCN,Mex 001D,68.298,00:39,,,,,,,,,,,,,,,,
Ent. Tijuana - Tecate y Lib. de Tecate,BCN,Mex 002D,27.22,00:16,Tijuana,75.0,291.0,291.0,417.0,417.0,534.0,534.0,534.0,151.0,227.0,303.0,151.0,224.0,224.0,224.0,224.0
Libramiento de Tecate (Ent. Sandoval) - Entronque La Rumorosa,BCN,Mex 002D,55.336,00:30,El Hongo,48.0,175.0,312.0,312.0,449.0,449.0,449.0,449.0,97.0,145.0,193.0,97.0,175.0,175.0,175.0,175.0
Entronque La Rumorosa - Entronque La Rumorosa 2,BCN,Mex 002D,1.049,00:01,,,,,,,,,,,,,,,,
Entronque La Rumorosa 2 - Flor del Desierto,BCN,Mex 002D,23.729,00:20,La Rumorosa,15.0,114.0,114.0,182.0,182.0,205.0,205.0,205.0,30.0,45.0,60.0,30.0,114.0,114.0,114.0,114.0
Flor del Desierto - Mexicali,BCN,Mex 002D,48.271,00:38,,,,,,,,,,,,,,,,
Totales,,,270.1,02:54,,162.0,674.0,835.0,1,29.0,1,184.0,1,324.0,1,324.0,1,324.0,326.0,490.0,654.0,326.0,611.0,611.0,611.0,607.0
